method,batch,prefill_tokens,decode_steps,phase,original_mean,replacement_mean,relative_reduction,pairs,block_length,ci_low,ci_high
structured-eml-d1-s1103-n12000,8,128,32,end_to_end_seconds,1.4042951988056303,1.4292747767021259,-0.017787982126365565,30,5,-0.027790656806925496,-0.00655354077660375
structured-eml-d1-s1103-n12000,8,128,32,prefill_gpu_ms,71.06098454793295,73.90070838928223,-0.039961785773370506,30,5,-0.09636631917574356,0.0125059082109652
structured-eml-d1-s1103-n12000,8,128,32,decode_gpu_ms,1329.3893961588542,1351.2974243164062,-0.016479767493898567,30,5,-0.02698810485939763,-0.004807611704505499
structured-eml-d1-s1103-n12000,8,512,32,prefill_seconds,0.14999056787540516,0.15472029522061348,-0.031533498487299694,30,5,-0.05288250679330675,-0.009446436693381965
structured-eml-d1-s1103-n12000,8,512,32,decode_seconds,1.312123595799009,1.3413406587516268,-0.02226700521670466,30,5,-0.03329400058342835,-0.010932564907797593
structured-eml-d1-s1103-n12000,8,512,32,end_to_end_seconds,1.4621157955999176,1.4960625423118472,-0.023217550083303173,30,5,-0.035005866984887835,-0.011614904170760942
structured-eml-d1-s1103-n12000,8,512,32,prefill_gpu_ms,147.92009633382162,152.63650919596353,-0.03188486878414443,30,5,-0.05314366308448726,-0.01028263101156579
structured-eml-d1-s1103-n12000,8,512,32,decode_gpu_ms,1310.4069458007812,1339.297224934896,-0.02204679945164667,30,5,-0.032730561021734474,-0.0110137359111675
structured-silu-d1-s1103-n12000,1,128,32,prefill_seconds,0.060208488690356415,0.06087991936753193,-0.011151761018759254,30,5,-0.03136430464399376,0.010221461249002806
structured-silu-d1-s1103-n12000,1,128,32,decode_seconds,1.3467621921251218,1.346113534271717,0.00048164245862980515,30,5,-0.012222966096470339,0.012210738308078062
structured-silu-d1-s1103-n12000,1,128,32,end_to_end_seconds,1.4069715271393457,1.4069943451633056,-1.6217829230891212e-05,30,5,-0.012521412185980222,0.011604063584395474
structured-silu-d1-s1103-n12000,1,128,32,prefill_gpu_ms,58.05665664672851,58.7111701965332,-0.011273703785379396,30,5,-0.03378182258043494,0.013460161490054245
structured-silu-d1-s1103-n12000,1,128,32,decode_gpu_ms,1344.6928263346354,1343.810673014323,0.0006560258990278012,30,5,-0.011979881867207665,0.012345852754747089
structured-silu-d1-s1103-n12000,1,512,32,prefill_seconds,0.0619646331295371,0.06270327934374412,-0.011920448438109466,30,5,-0.05226920577920424,0.04835117233188084
structured-silu-d1-s1103-n12000,1,512,32,decode_seconds,1.2942505763843655,1.291969706552724,0.0017623093033601878,30,5,-0.0026353047029510357,0.0069478843427482895
structured-silu-d1-s1103-n12000,1,512,32,end_to_end_seconds,1.3562161178017655,1.3546738364423314,0.0011371943889989522,30,5,-0.004262215552599535,0.00853286956724253
structured-silu-d1-s1103-n12000,1,512,32,prefill_gpu_ms,59.90082015991211,60.73323911031087,-0.013896620249547853,30,5,-0.05260892665353878,0.04394454330281161
structured-silu-d1-s1103-n12000,1,512,32,decode_gpu_ms,1292.093798828125,1289.6136352539063,0.0019194918948362005,30,5,-0.002357703986692627,0.00712672811839643
structured-silu-d1-s1103-n12000,8,128,32,prefill_seconds,0.07639745511114597,0.07446045844505231,0.02535420405399169,30,5,0.0005909974164207688,0.04390041850684301
structured-silu-d1-s1103-n12000,8,128,32,decode_seconds,1.3684606421738863,1.3948786798243722,-0.01930493054481941,30,5,-0.03978885676831334,-0.003707371183863989
structured-silu-d1-s1103-n12000,8,128,32,end_to_end_seconds,1.444859117269516,1.4693402153129378,-0.016943588306163715,30,5,-0.03769981996879479,-0.00114568534281978
structured-silu-d1-s1103-n12000,8,128,32,prefill_gpu_ms,74.33591906229655,72.35926780700683,0.026590795946616508,30,5,0.003716002796414153,0.04308967800135721
structured-silu-d1-s1103-n12000,8,128,32,decode_gpu_ms,1366.442500813802,1392.9071329752603,-0.019367541733879667,30,5,-0.03972601234907058,-0.00386493760208495
structured-silu-d1-s1103-n12000,8,512,32,prefill_seconds,0.15180159447093805,0.15080115714420875,0.006590426999242283,30,5,-0.009613161794726821,0.022107471068633533
structured-silu-d1-s1103-n12000,8,512,32,decode_seconds,1.3379919998968641,1.340268130476276,-0.0017011541022571297,30,5,-0.009887640611557336,0.0054010236266727185
structured-silu-d1-s1103-n12000,8,512,32,end_to_end_seconds,1.489795223188897,1.4910711087907353,-0.000856416762504697,30,5,-0.006613965292246116,0.003934873776999859
structured-silu-d1-s1103-n12000,8,512,32,prefill_gpu_ms,149.90013783772787,148.77166722615559,0.007528149258901218,30,5,-0.00936019692538781,0.021844219374182572
structured-silu-d1-s1103-n12000,8,512,32,decode_gpu_ms,1335.9241007486978,1338.3392618815103,-0.0018078580448237513,30,5,-0.01004149305895985,0.005357564613455934
